"","year","price","mileage","location","age"
"171",2020,26.995,9.109,"NEW_YORK",2
"172",2020,20,60.988,"NEW_YORK",2
"173",2019,23.859,23.627,"NEW_YORK",3
"174",2019,22.895,24.639,"NEW_YORK",3
"175",2022,23.908,0.741,"NEW_YORK",0
"176",2017,15.678,54.151,"NEW_YORK",5
"177",2020,19.995,64.472,"NEW_YORK",2
"178",2019,20.517,32.919,"NEW_YORK",3
"179",2020,19.965,47.895,"NEW_YORK",2
"180",2019,19.996,52.567,"NEW_YORK",3
"181",2012,10.895,49.765,"NEW_YORK",10
"182",2021,24.977,21.273,"NEW_YORK",1
"183",2021,26,7.317,"NEW_YORK",1
"184",2020,22.598,36.069,"NEW_YORK",2
"185",2022,25.946,6.938,"NEW_YORK",0
"186",2020,22.795,26.836,"NEW_YORK",2
"187",2013,10.999,109.04,"NEW_YORK",9
"188",2019,18.995,56.581,"NEW_YORK",3
"189",2020,16.494,60.923,"NEW_YORK",2
"190",2022,23.311,8.026,"NEW_YORK",0
"191",2013,10.2,94.798,"NEW_YORK",9
"192",2019,20.986,47.77,"NEW_YORK",3
"193",2018,13.99,61.944,"NEW_YORK",4
"194",2019,26.39,35.304,"NEW_YORK",3
"195",2020,18.339,53.805,"NEW_YORK",2
"196",2020,23.99,15.454,"NEW_YORK",2
"197",2017,18.417,42.283,"NEW_YORK",5
"198",2021,18.338,33.738,"NEW_YORK",1
"199",2019,18.495,32.046,"NEW_YORK",3
"200",2020,18.75,49.969,"NEW_YORK",2
"201",2019,18.995,59.079,"NEW_YORK",3
"202",2015,7.988,141.526,"NEW_YORK",7
"203",2020,20.985,40.474,"NEW_YORK",2
"204",2019,23.199,33.403,"NEW_YORK",3
"205",2019,21.718,49.217,"NEW_YORK",3
"206",2022,24.211,1.483,"NEW_YORK",0
"207",2021,27.922,8.741,"NEW_YORK",1
"208",2020,20.995,34.489,"NEW_YORK",2
"209",2020,18.996,38.996,"NEW_YORK",2
"210",2013,6.995,117.8,"NEW_YORK",9
"211",2020,15.798,59.103,"NEW_YORK",2
"212",2019,15.495,61.309,"NEW_YORK",3
